rt,choice,conflict_level,subj_idx
0.51,1,0.5,0
1.8000000000000012,1,0.25,0
1.4400000000000008,1,0.5,0
0.5700000000000001,1,1.0,0
0.4700000000000001,1,0.25,0
1.0700000000000005,1,0.25,0
2.7699999999999902,1,0.25,0
1.0100000000000005,1,0.5,0
0.6000000000000001,1,1.0,0
4.129999999999962,1,0.5,0
0.9100000000000004,1,0.5,0
2.0800000000000014,1,0.25,0
2.78999999999999,1,0.25,0
5.1699999999999395,1,0.0,0
0.7400000000000002,1,0.25,0
1.630000000000001,1,0.25,0
0.8300000000000003,1,0.5,0
1.640000000000001,1,0.75,0
0.8200000000000003,1,0.25,0
1.1800000000000006,1,1.0,0
0.39,1,0.25,0
0.8100000000000003,1,0.75,0
7.839999999999883,1,0.25,0
3.5099999999999745,1,0.5,0
1.4500000000000008,1,0.0,0
2.8999999999999875,1,1.0,0
3.099999999999983,1,0.5,0
2.349999999999999,1,0.5,0
0.9500000000000004,1,0.5,0
2.0100000000000016,1,1.0,0
7.779999999999884,1,0.0,0
1.530000000000001,1,0.0,0
3.209999999999981,1,0.25,0
1.0900000000000005,1,0.5,0
1.1800000000000006,1,0.5,0
1.0400000000000005,1,1.0,0
2.0500000000000016,1,0.0,0
1.680000000000001,1,1.0,0
2.829999999999989,1,0.25,0
1.700000000000001,1,0.25,0
0.8800000000000003,1,0.5,0
0.55,1,0.0,0
3.0499999999999843,1,0.75,0
1.9600000000000013,1,0.75,0
1.2500000000000007,1,1.0,0
1.550000000000001,1,1.0,0
2.0500000000000016,1,0.75,0
1.0300000000000005,1,1.0,0
0.56,1,0.5,0
1.1900000000000006,1,0.75,0
0.5,1,0.0,0
4.519999999999953,1,0.5,0
2.589999999999994,1,0.25,0
1.670000000000001,1,0.75,0
1.8800000000000012,1,0.0,0
0.6200000000000001,1,0.0,0
1.550000000000001,1,1.0,0
0.8700000000000003,1,0.25,0
1.0900000000000005,1,0.0,0
1.1300000000000006,1,0.0,0
2.3299999999999996,1,0.75,0
0.7600000000000002,1,0.75,0
