true_w_n,posterior_mean,sbc_rank,n_posterior_samples
0.749080237694725,0.7240178881136046,99.0,150
0.4631413017020056,0.4201018948226073,110.0,150
1.9461843002813486,1.8888933756870596,91.0,150
1.3599757495646296,1.6002505029352259,1.0,150
1.0374665220005759,1.1185345645056168,32.0,150
0.701851416618777,0.763778511516531,34.0,150
1.0894913633438879,0.9226894854547496,142.0,150
0.29041452293852843,0.31105996140540554,51.0,150
0.3100780317632599,0.29246385737319536,102.0,150
1.6756449574025938,1.7182209750626853,60.0,150
1.3283227736759575,1.351536730174612,68.0,150
0.8643080015485558,0.9230737096737651,48.0,150
1.8946954276781234,1.9627049639079397,49.0,150
1.5307836917754014,1.6463625849374086,44.0,150
1.2524712368800432,1.4652227959392297,17.0,150
0.8801040329815442,0.8575013232159161,90.0,150
1.7296125125104551,1.6606801041704373,103.0,150
0.5632818938070565,0.5543258613362697,83.0,150
0.07591250521858695,0.06562627104757325,100.0,150
0.42975945407951266,0.462745724090456,39.0,150
1.896846387143624,2.123777495756038,9.0,150
1.802889587931814,1.620027546564371,139.0,150
0.35702556375415484,0.4528838790627608,4.0,150
1.631324077771038,1.6507232500286466,68.0,150
1.4300472305024352,1.5773871613188475,22.0,150
1.0779146974479499,0.9610774289686009,140.0,150
0.8620010104599907,0.9157746489414088,32.0,150
0.2516962192288723,0.22825462313183792,110.0,150
0.7950995197388799,0.9246914925106838,14.0,150
1.591543882458111,1.5928071965839823,77.0,150
1.6767862010812562,1.6108723185808071,98.0,150
1.2500955358700816,1.1193064517004367,130.0,150
1.1814722791516064,1.250915854333134,40.0,150
0.5631744048083684,0.6407284150333624,16.0,150
0.8797925356288596,0.8539622162689504,89.0,150
0.8713953164641124,0.94050351758489,24.0,150
0.251439909865637,0.3319831818272219,7.0,150
1.1139057841168092,1.0586376732803944,113.0,150
1.091804993725216,1.1351735603664097,57.0,150
0.829654425560284,0.92280553577611,21.0,150
1.6377002780163536,1.7846527132259296,25.0,150
0.5455011778657646,0.6706278809295435,9.0,150
1.49088145859465,1.5817838118481133,37.0,150
0.19715185682216507,0.1816980638814051,97.0,150
0.5228001526707076,0.5590640591018334,39.0,150
0.8436116362689221,0.9235858375706261,17.0,150
1.4313063987323928,1.450946852994731,63.0,150
0.38297791701337536,0.401945783538596,56.0,150
1.94997551172323,2.1132233228506703,26.0,150
1.3697329150287871,1.3018897785682888,105.0,150
0.4928715353254636,0.4773745184455224,91.0,150
1.3437247472936151,1.3352847356806254,77.0,150
0.2244278956064063,0.24872313324871026,51.0,150
1.0403120862264859,1.243962224727557,5.0,150
0.9096605501799233,0.8821418113457241,95.0,150
1.9551885096203456,1.6653853334524582,148.0,150
1.8998824771764709,1.7697134388576925,121.0,150
0.4009770351416069,0.41472683109817976,61.0,150
1.8719677742179899,1.7212093166925728,113.0,150
1.543120664982132,1.4305113232120277,121.0,150
0.8452587362129609,0.8581316236391243,65.0,150
1.6305756356951864,1.8459377012423048,9.0,150
0.4441318542989039,0.45695091933016785,66.0,150
0.3313519602031876,0.3703663573445025,29.0,150
1.7585711184230577,1.6788147573247287,109.0,150
1.2658395176602621,1.4294725634852037,14.0,150
1.1449414257453547,1.4294725634852037,,0
1.1856529741728097,1.4294725634852037,,0
1.5725527330937823,1.4294725634852037,,0
0.1619532364856655,1.4294725634852037,,0
1.626190242170447,1.4294725634852037,,0
0.5910135318583978,0.5621644320686315,105.0,150
1.6736085907103764,1.5997783230367362,105.0,150
1.2694240511128712,1.2093235481744777,101.0,150
0.7515811951119815,0.7543730208104454,75.0,150
1.888833897843349,1.6717299678989501,145.0,150
1.010129783765241,1.1202477402384254,29.0,150
1.4419377418056525,1.5667934897338993,35.0,150
1.0195369383078463,1.1116527192340813,31.0,150
0.9854422974523322,0.9288666969136038,104.0,150
0.3480234766987915,0.42513403519040033,7.0,150
1.9332191598886312,1.9034443811717285,93.0,150
0.18100582418764266,0.19947820026719315,45.0,150
0.5405980228076945,0.45937234410679006,144.0,150
0.3019504571529992,0.32506337962022547,41.0,150
1.2733749236963932,1.2567966606314787,91.0,150
1.0344242542541766,0.981676777177303,104.0,150
0.3321041048813118,0.31617772492598656,91.0,150
1.7310711313752216,1.6392753482134879,101.0,150
0.9379824449117646,0.939953266551853,77.0,150
1.7887116347708782,1.5956133481926547,125.0,150
1.6759955087638587,1.6858840050420238,68.0,150
1.2304959751303812,1.1927550026319222,93.0,150
1.3616237883343079,1.5013491677340451,21.0,150
0.7172692478335998,0.6916792932887912,105.0,150
0.5167262167502296,0.580741585591352,28.0,150
0.9980704587902929,0.8697546585227723,144.0,150
1.871381863389486,1.7178572611071823,127.0,150
0.3762936481121908,0.3682115547452083,89.0,150
1.6325486270765583,1.6593145413199237,60.0,150
