choice,rt,subject,block_type,block_num,trial_in_block,ll_delay,effective_threshold
Choose_SS,1.3489984123949716,0,ValueFocus,1,1,1,0.7468571143636413
Choose_SS,1.9320529965751085,0,ValueFocus,1,2,1,0.7468571143636413
Choose_LL,0.964890041898192,0,ValueFocus,1,3,1,0.7468571143636413
Choose_LL,0.17926414835562712,0,ValueFocus,1,4,1,0.7468571143636413
Choose_LL,0.10602512183505908,0,ValueFocus,1,5,1,0.7468571143636413
Choose_SS,1.2607372320670702,0,ValueFocus,1,6,1,0.7468571143636413
Choose_LL,0.6702185090148095,0,ValueFocus,1,7,1,0.7468571143636413
Choose_SS,1.3661449993163248,0,ValueFocus,1,8,1,0.7468571143636413
Choose_LL,0.9897137715414136,0,ValueFocus,1,9,1,0.7468571143636413
Choose_SS,1.8404596347916342,0,ValueFocus,1,10,1,0.7468571143636413
Choose_LL,0.6276250092779945,0,ValueFocus,1,11,5,0.7468571143636413
Choose_LL,0.3940154975612391,0,ValueFocus,1,12,5,0.7468571143636413
Choose_SS,0.7160620921780331,0,ValueFocus,1,13,5,0.7468571143636413
Choose_LL,1.074968446831386,0,ValueFocus,1,14,5,0.7468571143636413
Choose_LL,0.22805191865251734,0,ValueFocus,1,15,5,0.7468571143636413
Choose_SS,0.9909086090603424,0,ValueFocus,1,16,5,0.7468571143636413
Choose_LL,1.852962375784756,0,ValueFocus,1,17,5,0.7468571143636413
Choose_SS,1.8652665866622404,0,ValueFocus,1,18,5,0.7468571143636413
Choose_SS,1.6238944115730638,0,ValueFocus,1,19,5,0.7468571143636413
Choose_LL,1.0160452429456126,0,ValueFocus,1,20,5,0.7468571143636413
Choose_LL,0.625690638859877,0,ValueFocus,1,21,10,0.7468571143636413
Choose_SS,0.2996417423908918,0,ValueFocus,1,22,10,0.7468571143636413
Choose_LL,1.3321652405676174,0,ValueFocus,1,23,10,0.7468571143636413
Choose_LL,0.29734528990525344,0,ValueFocus,1,24,10,0.7468571143636413
Choose_SS,0.24839630632609142,0,ValueFocus,1,25,10,0.7468571143636413
Choose_LL,1.9222652764639652,0,ValueFocus,1,26,10,0.7468571143636413
Choose_SS,1.912640174415973,0,ValueFocus,1,27,10,0.7468571143636413
Choose_SS,0.6005063419143777,0,ValueFocus,1,28,10,0.7468571143636413
Choose_LL,0.8149097983715833,0,ValueFocus,1,29,10,0.7468571143636413
Choose_LL,1.3674392726966227,0,ValueFocus,1,30,10,0.7468571143636413
Choose_LL,1.9497725005584554,0,ValueFocus,1,31,20,0.7468571143636413
Choose_SS,0.9386067951438094,0,ValueFocus,1,32,20,0.7468571143636413
Choose_LL,1.3417784097445458,0,ValueFocus,1,33,20,0.7468571143636413
Choose_SS,1.371540424501686,0,ValueFocus,1,34,20,0.7468571143636413
Choose_LL,1.5883924689844435,0,ValueFocus,1,35,20,0.7468571143636413
Choose_SS,0.2844152701457424,0,ValueFocus,1,36,20,0.7468571143636413
Choose_LL,0.14792278458285466,0,ValueFocus,1,37,20,0.7468571143636413
Choose_SS,1.7285058401660414,0,ValueFocus,1,38,20,0.7468571143636413
Choose_SS,0.4688074496916048,0,ValueFocus,1,39,20,0.7468571143636413
Choose_SS,0.5468489440287807,0,ValueFocus,1,40,20,0.7468571143636413
Choose_SS,0.37581068255429306,0,ValueFocus,1,41,40,0.7468571143636413
Choose_SS,0.28579722106276506,0,ValueFocus,1,42,40,0.7468571143636413
Choose_SS,0.37458748345239845,0,ValueFocus,1,43,40,0.7468571143636413
Choose_SS,1.4855081526291705,0,ValueFocus,1,44,40,0.7468571143636413
Choose_LL,0.9427231740224615,0,ValueFocus,1,45,40,0.7468571143636413
Choose_SS,0.43397015451233134,0,ValueFocus,1,46,40,0.7468571143636413
Choose_LL,0.6166056412592806,0,ValueFocus,1,47,40,0.7468571143636413
Choose_LL,0.7954277246677308,0,ValueFocus,1,48,40,0.7468571143636413
Choose_SS,1.774855059773367,0,ValueFocus,1,49,40,0.7468571143636413
Choose_SS,0.29160824739646785,0,ValueFocus,1,50,40,0.7468571143636413
Choose_LL,1.917258869535071,0,ValueFocus,1,51,60,0.7468571143636413
Choose_SS,0.3498619867488698,0,ValueFocus,1,52,60,0.7468571143636413
Choose_SS,1.0510344592344552,0,ValueFocus,1,53,60,0.7468571143636413
Choose_LL,1.1795455564777082,0,ValueFocus,1,54,60,0.7468571143636413
Choose_SS,1.2807393456785663,0,ValueFocus,1,55,60,0.7468571143636413
Choose_SS,0.8310834170024813,0,ValueFocus,1,56,60,0.7468571143636413
Choose_SS,1.91904646453841,0,ValueFocus,1,57,60,0.7468571143636413
Choose_SS,0.26441391052931573,0,ValueFocus,1,58,60,0.7468571143636413
Choose_LL,1.2322396854301545,0,ValueFocus,1,59,60,0.7468571143636413
Choose_SS,1.2685472162412437,0,ValueFocus,1,60,60,0.7468571143636413
Choose_SS,0.7560568499347815,0,SpeedFocus,2,1,25,0.5968571143636413
Choose_SS,0.33253483005005513,0,SpeedFocus,2,2,25,0.5968571143636413
Choose_LL,0.7723919597984631,0,SpeedFocus,2,3,25,0.5968571143636413
Choose_SS,0.21870067784277974,0,SpeedFocus,2,4,25,0.5968571143636413
Choose_SS,0.7648395752139527,0,SpeedFocus,2,5,25,0.5968571143636413
Choose_LL,0.6015771545508717,0,SpeedFocus,2,6,25,0.5968571143636413
Choose_LL,1.0476161914334063,0,SpeedFocus,2,7,25,0.5968571143636413
Choose_LL,1.3850344133893575,0,SpeedFocus,2,8,25,0.5968571143636413
Choose_SS,0.5959368733405489,0,SpeedFocus,2,9,25,0.5968571143636413
Choose_SS,1.3243228173993462,0,SpeedFocus,2,10,25,0.5968571143636413
Choose_SS,0.7465456677655211,0,SpeedFocus,2,11,25,0.5968571143636413
Choose_SS,1.59132141828342,0,SpeedFocus,2,12,25,0.5968571143636413
Choose_SS,1.2570894165720845,0,SpeedFocus,2,13,25,0.5968571143636413
Choose_LL,0.18863315534870045,0,SpeedFocus,2,14,25,0.5968571143636413
Choose_SS,1.6211818457443257,0,SpeedFocus,2,15,25,0.5968571143636413
Choose_SS,0.5376422850746454,0,SpeedFocus,2,16,25,0.5968571143636413
Choose_LL,1.74359381096157,0,SpeedFocus,2,17,25,0.5968571143636413
Choose_SS,1.2404522448184232,0,SpeedFocus,2,18,25,0.5968571143636413
Choose_SS,0.7844914182231616,0,SpeedFocus,2,19,25,0.5968571143636413
Choose_LL,1.2741349614095667,0,SpeedFocus,2,20,25,0.5968571143636413
Choose_LL,0.98979518902002,0,SpeedFocus,2,21,25,0.5968571143636413
Choose_LL,0.14860265131079256,0,SpeedFocus,2,22,25,0.5968571143636413
Choose_LL,0.8103169801693528,0,SpeedFocus,2,23,25,0.5968571143636413
Choose_SS,0.9731281656816839,0,SpeedFocus,2,24,25,0.5968571143636413
Choose_SS,1.3483281898601767,0,SpeedFocus,2,25,25,0.5968571143636413
Choose_LL,0.4901517548995754,0,SpeedFocus,2,26,25,0.5968571143636413
Choose_LL,1.4471458901947294,0,SpeedFocus,2,27,25,0.5968571143636413
Choose_LL,1.3730273175952141,0,SpeedFocus,2,28,25,0.5968571143636413
Choose_LL,1.5003756119189202,0,SpeedFocus,2,29,25,0.5968571143636413
Choose_SS,1.2682033713457435,0,SpeedFocus,2,30,25,0.5968571143636413
Choose_SS,1.8275465183704687,0,ValueFocus,3,1,1,0.7468571143636413
Choose_LL,1.9271230065767917,0,ValueFocus,3,2,1,0.7468571143636413
Choose_SS,0.655950762695437,0,ValueFocus,3,3,1,0.7468571143636413
Choose_LL,0.7522770016424994,0,ValueFocus,3,4,1,0.7468571143636413
Choose_SS,1.287871214451828,0,ValueFocus,3,5,1,0.7468571143636413
Choose_SS,1.130121021719981,0,ValueFocus,3,6,1,0.7468571143636413
Choose_LL,1.1968567679902176,0,ValueFocus,3,7,1,0.7468571143636413
Choose_SS,1.4348868256469836,0,ValueFocus,3,8,1,0.7468571143636413
Choose_LL,1.0153173825081059,0,ValueFocus,3,9,1,0.7468571143636413
Choose_SS,1.9246132966601806,0,ValueFocus,3,10,1,0.7468571143636413
Choose_LL,1.983377429385944,0,ValueFocus,3,11,5,0.7468571143636413
Choose_SS,0.44637833871248456,0,ValueFocus,3,12,5,0.7468571143636413
Choose_LL,0.3966482888197298,0,ValueFocus,3,13,5,0.7468571143636413
Choose_SS,0.6455587492537957,0,ValueFocus,3,14,5,0.7468571143636413
Choose_SS,1.3656195842846557,0,ValueFocus,3,15,5,0.7468571143636413
Choose_LL,0.8780413943592341,0,ValueFocus,3,16,5,0.7468571143636413
Choose_LL,0.28908058971721506,0,ValueFocus,3,17,5,0.7468571143636413
Choose_LL,0.8341373890568347,0,ValueFocus,3,18,5,0.7468571143636413
Choose_LL,0.9918675796773261,0,ValueFocus,3,19,5,0.7468571143636413
Choose_SS,1.8647766786329991,0,ValueFocus,3,20,5,0.7468571143636413
Choose_LL,1.2876900489199874,0,ValueFocus,3,21,10,0.7468571143636413
Choose_LL,1.357317369153134,0,ValueFocus,3,22,10,0.7468571143636413
Choose_LL,0.5926841033978073,0,ValueFocus,3,23,10,0.7468571143636413
Choose_SS,1.444564070651377,0,ValueFocus,3,24,10,0.7468571143636413
Choose_SS,1.4830178176526578,0,ValueFocus,3,25,10,0.7468571143636413
Choose_LL,0.6726829222166057,0,ValueFocus,3,26,10,0.7468571143636413
Choose_SS,1.9364411488439557,0,ValueFocus,3,27,10,0.7468571143636413
Choose_LL,1.8340150727931512,0,ValueFocus,3,28,10,0.7468571143636413
Choose_LL,1.5043266240254225,0,ValueFocus,3,29,10,0.7468571143636413
Choose_LL,0.6690259771800933,0,ValueFocus,3,30,10,0.7468571143636413
Choose_LL,0.7864658116397993,0,ValueFocus,3,31,20,0.7468571143636413
Choose_SS,0.9216673850546675,0,ValueFocus,3,32,20,0.7468571143636413
Choose_LL,0.5132713384435277,0,ValueFocus,3,33,20,0.7468571143636413
Choose_SS,1.9129671371833668,0,ValueFocus,3,34,20,0.7468571143636413
Choose_LL,0.7092066939937877,0,ValueFocus,3,35,20,0.7468571143636413
Choose_LL,0.48635526179021027,0,ValueFocus,3,36,20,0.7468571143636413
Choose_LL,1.7208707944548023,0,ValueFocus,3,37,20,0.7468571143636413
