subject,true_k,true_threshold
0,0.048352373564780636,0.540589259452382
1,0.04815222983696641,0.7004639488439615
2,0.04983418402405245,0.562635847482583
3,0.04984816465670826,0.6255045945624198
4,0.04925503425110138,0.5157968030470046
5,0.0505426582430943,0.660972382519192
6,0.0519138366179081,0.6870279736749093
7,0.05087657516072291,0.7325485798049856
8,0.048378706713608124,0.5878901953574746
9,0.046433294757747164,0.6572139322698226
10,0.0490599068213508,0.6272745400393684
11,0.04869580713812417,0.5691999737271671
12,0.05147529501535866,0.47866206736899797
13,0.05132084718105495,0.5214107656118441
14,0.049021812129127824,0.5197867567721891
15,0.049776641836729,0.6647057822414194
16,0.05059349846942658,0.5427870201414715
17,0.048010894281434485,0.6391513533424398
18,0.05049214834497041,0.5883128039604438
19,0.049549570689979776,0.42153871903172624
